
KV-SRV-01OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
FEDOTOVOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
FEDOTOVOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
FEDOTOVOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
FEDOTOVOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
LYSENKO-NOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SHUBAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SHUBAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
OSTEPANOVAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SLEVCHENKOOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SLEVCHENKOOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KVIRTUAL3OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KAMINSKAYA-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
ADMINSGIS-PCOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
TSYMBAL-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
VVERBAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
VVERBAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
VVERBAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
VVERBAOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SUBOTOVSKYIOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SUBOTOVSKYIOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SUBOTOVSKYIOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
