LAPTOP07;;; unreachable; intetics.com.ua/Workstations/Laptops
TEACHER;;; unreachable; intetics.com.ua/Workstations/Common
KRYLOVA-LT;;; unreachable; intetics.com.ua/Workstations/Lawyers
VASILENKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
BATRAKOV;;; unreachable; intetics.com.ua/Workstations/Developers
KV-SRV-02;;; unreachable; intetics.com.ua/Servers
ANDRIENKO;;; unreachable; intetics.com.ua/Workstations/Developers
BOCHKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
USOVA-LT;;; unreachable; intetics.com.ua/Workstations/HR
TRYZHIK;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
KAZAKOV;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
TYUTYUNNYK-LT2;;; unreachable; intetics.com.ua/Workstations/Directors
MASTIUKH;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
RPOPOV;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
CONN;;; unreachable; intetics.com.ua/Workstations/Common
IREZNIK;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
FATEEV;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
BRONNIKOVA;;; unreachable; intetics.com.ua/Workstations/Developers
KUZNETSOV2;;; unreachable; intetics.com.ua/Workstations/Developers
SLUPSKAYA-LT;;; unreachable; intetics.com.ua/Workstations/HR
BLINOVA;;; unreachable; intetics.com.ua/Workstations/Accountants
YSKUBAK;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
TRETYAKOV-LT2;;; unreachable; intetics.com.ua/Workstations/GIS
PRILUTSK;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
CUBIPRINT;;; unreachable; intetics.com.ua/Virtual
AKRAVCHENKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
TRAVKIN;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
SHUBA;;; unreachable; intetics.com.ua/Workstations/Accountants
MATSEGORA;;; unreachable; intetics.com.ua/Workstations/GIS/GISDev
MIROSHNICHENKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
OSTEPANOVA;;; unreachable; intetics.com.ua/Workstations/Accountants
GORODNICHENKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
DIMKOV;;; unreachable; intetics.com.ua/Workstations/Developers
PAVLENKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
BONDARENKO;;; unreachable; intetics.com.ua/Workstations/Developers
GASANOV;;; unreachable; intetics.com.ua/Workstations/HR
RADCHENKO;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
LAPTOP18;;; unreachable; intetics.com.ua/Workstations/Laptops
LYTVYN2;;; unreachable; intetics.com.ua/Workstations/Admins
TSYMBAL-LT;;; unreachable; intetics.com.ua/Workstations/GIS/PL
VVERBA;;; unreachable; intetics.com.ua/Workstations/GIS/GISDev
LAPTOP19;;; unreachable; intetics.com.ua/Workstations/Laptops
YEMELIANOV;;; unreachable; intetics.com.ua/Workstations/Developers
BORODULIN-LT;;; unreachable; intetics.com.ua/Workstations/GIS/PL
KOVTONYUK;;; unreachable; intetics.com.ua/Workstations/Developers
TURIANSKYI;;; unreachable; intetics.com.ua/Workstations/Developers
SHOFERYUK;;; unreachable; intetics.com.ua/Workstations/Developers
SAMOYLENKO;;; unreachable; intetics.com.ua/Workstations/Kiev
LAPTOP20;;; unreachable; intetics.com.ua/Workstations/Laptops
KOZEJKO-LT;;; unreachable; intetics.com.ua/Workstations/Lviv
SUBOTOVSKYI;;; unreachable; intetics.com.ua/Workstations/Developers
TYMKIV;;; unreachable; intetics.com.ua/Workstations/Lviv
OLSHEVSKIY;;; unreachable; intetics.com.ua/Workstations/Developers
KV-LAPTOP-04;;; unreachable; intetics.com.ua/Workstations/Kiev
GAMBAROV-LT;;; unreachable; intetics.com.ua/Workstations/Developers/PM
SHISHKO-LT;;; unreachable; intetics.com.ua/Workstations/Kiev
KV-LAPTOP-05;;; unreachable; intetics.com.ua/Workstations/Kiev
STM;;; unreachable; intetics.com.ua/Workstations/Kiev
KIZYAN-LT;;; unreachable; intetics.com.ua/Workstations/Kiev
KUDRIAVETS;;; unreachable; intetics.com.ua/Workstations/Developers
SKRYNNYK2;;; unreachable; intetics.com.ua/Workstations/Kiev
DUDACHIN2;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
EPIVOVAR;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
TKACHENKO2;;; unreachable; intetics.com.ua/Workstations/Developers
OVCHAR;;; unreachable; intetics.com.ua/Workstations/GIS/GISDev
ITSKHOVR2;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
VBALAGUT;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
DGOLDINER;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
MSEMERNI;;; unreachable; intetics.com.ua/Workstations/GIS/Win7x64
AKOLIADE2;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
ANPILOGOV;;; unreachable; intetics.com.ua/Workstations/Kiev
AGEEV2;;; unreachable; intetics.com.ua/Workstations/Developers
ZAGREVSK;;; unreachable; intetics.com.ua/Workstations/GIS/GISDev
VASHCHENKO2;;; unreachable; intetics.com.ua/Workstations/Kiev
ESAMKO;;; unreachable; intetics.com.ua/Workstations/GIS/Win7x64
PODOLIA2;;; unreachable; intetics.com.ua/Workstations/Kiev
RESTORE-REBOOT;;; unreachable; intetics.com.ua/Computers
APONOMAR;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
RGRIGORIAN;;; unreachable; intetics.com.ua/Workstations/GIS/Win7x64
ROGACHEV;;; unreachable; intetics.com.ua/Workstations/HR
LAPTOP21;;; unreachable; intetics.com.ua/Workstations/Laptops
IPLUSHKO;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
NSIDORCHENKO;;; unreachable; intetics.com.ua/Workstations/GIS/Win7x64
STRUCHKOVA-LT;;; unreachable; intetics.com.ua/Workstations/Kiev
AVELICHKO;;; unreachable; intetics.com.ua/Workstations/GIS/Win10x64
RESHETILO2;;; unreachable; intetics.com.ua/Workstations/Admins
BERDNIK-LT;;; unreachable; intetics.com.ua/Workstations/Developers/PM
DOVGANICH-LT;;; unreachable; intetics.com.ua/Workstations/Developers
YALOVOL-LT2;;; unreachable; intetics.com.ua/Workstations/Directors
SHEIKO-LT;;; unreachable; intetics.com.ua/Workstations/Developers/PM
IRYLKOV2;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
LVDC;;; unreachable; intetics.com.ua/Domain Controllers
LVACS;;; unreachable; intetics.com.ua/Servers
KUZMINOVA;;; unreachable; intetics.com.ua/Workstations/GIS/ParkMe
AKOZLOVA;;; unreachable; intetics.com.ua/Workstations/GIS/GISDev
